Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"PRC - DESOTO INTERNATIONAL, INC.",10/9/18,11/8/18,112.02,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/5/18,12/4/18,294,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/5/18,12/4/18,1420.7,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/5/18,11/19/18,1709.3,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/5/18,12/4/18,237,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/5/18,12/4/18,570,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/4/18,12/3/18,6820,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/3/18,11/2/18,1150,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/22/18,3/15/19,1562.58,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/12/19,300,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/12/19,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/23/18,1/22/19,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/27/18,12/31/18,520.86,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/18/18,12/17/18,480,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/15/18,11/14/18,4936.26,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,12/10/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/10/18,12/10/18,1302.15,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/4/18,12/3/18,30316,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/10/18,12/10/18,3958.4,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/31/18,3/1/19,20054.84,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/28/18,2/26/19,2918.34,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/28/18,1/28/19,1650.66,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/21/18,1/22/19,5536.1,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/19/18,2/19/19,41265,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/13/18,2/11/19,43775.1,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/9/18,11/30/18,560.26,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/9/18,11/30/18,280.13,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/8/18,11/29/18,1400.65,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/6/18,11/27/18,560.26,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/2/18,11/12/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/2/18,11/12/18,8291.4,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/1/18,11/12/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",11/1/18,11/12/18,16582.8,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/31/18,11/30/18,10003.16,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/31/18,11/12/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,11/9/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,11/9/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/26/18,11/5/18,829.14,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/25/18,11/5/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/19/18,10/29/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/19/18,10/29/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/19/18,10/29/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/17/18,10/29/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/16/18,10/26/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/16/18,10/26/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/13/18,10/23/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,10/22/18,8291.4,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,10/22/18,8291.4,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,10/22/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,10/22/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/18,10/22/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/9/18,10/19/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/9/18,10/19/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/7/18,10/17/18,0,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/3/18,10/15/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/2/18,10/12/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/1/18,10/11/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
VERTEX LLC,8/20/18,10/10/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",7/24/18,8/23/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",7/24/18,9/24/18,520.86,Department of Defense,PURCHASE ORDER,GA,325510
VERTEX LLC,7/18/18,9/28/18,445.84,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",7/11/18,9/10/18,520.86,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/20/18,8/20/18,1350.85,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/12/18,8/13/18,938.56,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/5/18,7/5/18,178877.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/24/18,6/25/18,5126.22,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/22/18,6/21/18,23956.8,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/15/18,6/14/18,770.37,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/1/18,7/2/18,792.96,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/1/18,7/2/18,1501.5,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/24/18,5/14/18,270.17,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/10/18,6/11/18,63884.8,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/5/18,4/9/18,31694,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,3/19/18,640.88,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,3/19/18,238.2,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/20/18,3/13/18,5592.24,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/13/18,4/16/18,1514.88,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/5/18,4/6/18,63884.8,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/29/18,3/5/18,78258.88,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/17/18,2/6/18,821.24,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/3/18,2/7/18,63841.6,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",10/11/17,11/10/17,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",9/21/18,10/22/18,290,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",9/15/18,11/14/18,167318.16,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",9/15/18,11/14/18,241249.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/31/18,10/30/18,40124.76,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/29/18,10/29/18,18488.86,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/25/18,10/24/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/22/18,10/22/18,2383.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/10/18,9/10/18,37920,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/9/18,10/9/18,7298.3,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",7/19/18,9/17/18,451.6,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",7/3/18,9/11/18,243195,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/26/18,8/27/18,121597.5,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/18/18,8/17/18,14706.45,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/14/18,7/5/18,2532.32,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",6/8/18,7/9/18,580,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/30/18,7/14/18,133757.25,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/29/18,4/23/18,224.04,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/14/18,4/3/18,580,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/6/18,3/16/18,2376.8,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",3/1/18,5/30/18,18882.24,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/27/18,4/13/18,87550.2,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,4/9/18,18512.16,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,3/28/18,18512.16,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/22/18,3/14/18,960,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/15/18,3/7/18,3840,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/7/18,3/5/18,28323.36,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/29/18,3/15/18,129585.12,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/26/18,4/12/18,15066.3,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/24/18,2/7/18,601.04,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/3/18,1/17/18,0,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",12/15/17,1/23/18,45847,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",8/27/18,9/26/18,205.89,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/31/18,7/2/18,320.44,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/4/18,5/4/18,12116.52,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,4/2/18,16536,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",2/26/18,3/19/18,18512.16,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",1/30/18,2/13/18,261.19,Department of Defense,PURCHASE ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/10/18,5/21/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/9/18,5/21/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/9/18,5/21/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/8/18,5/18/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/7/18,5/17/18,2763.8,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/5/18,5/15/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/3/18,5/14/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/2/18,8/14/18,2702.7,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/2/18,6/1/18,1397.52,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",5/2/18,6/1/18,13213,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/27/18,5/7/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/26/18,5/7/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/26/18,5/7/18,8291.4,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/25/18,5/7/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/25/18,5/7/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/24/18,5/4/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/23/18,5/3/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/23/18,5/3/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/20/18,4/30/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/20/18,4/30/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/18/18,4/30/18,552.76,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/17/18,4/27/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/17/18,4/27/18,276.38,Department of Defense,DELIVERY ORDER,GA,325510
"PRC - DESOTO INTERNATIONAL, INC.",4/16/18,4/26/18,829.14,Department of Defense,DELIVERY ORDER,GA,325510
NATIONAL SECURITY ASSOCIATES INC,7/20/18,8/4/18,13362,Department of Defense,PURCHASE ORDER,GA,325520
"CAIL TOOL & MACHINERY, INC.",5/3/18,5/25/18,4658.4,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",7/3/18,9/4/18,2461.32,Department of Defense,DELIVERY ORDER,GA,325520
"UNITED SEAL & RUBBER COMPANY, INC.",4/19/18,5/31/18,4062.14,Department of Defense,PURCHASE ORDER,GA,325520
"SEAHORSE DEFENSE SUPPLY, LLC",12/10/18,1/9/19,699.04,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/4/18,1/8/19,64981,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/4/18,2/4/19,20160,Department of Defense,PURCHASE ORDER,GA,325520
VERTEX LLC,11/28/18,4/26/19,0,Department of Defense,PURCHASE ORDER,GA,325520
VERTEX LLC,11/28/18,1/11/19,0,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/14/18,1/14/19,11956,Department of Defense,PURCHASE ORDER,GA,325520
VERTEX LLC,11/7/18,12/14/18,0,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/29/18,12/28/18,2821.74,Department of Defense,PURCHASE ORDER,GA,325520
VERTEX LLC,10/18/18,12/24/18,271.44,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/2/18,12/3/18,5781,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/26/18,2/27/19,5286.75,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/21/18,1/25/19,15769.82,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/20/18,2/28/19,197.52,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/15/18,2/28/19,1021.16,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,1/17/19,5583.6,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/14/18,2/8/19,2635.8,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/8/18,1/2/19,1316.72,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/8/18,1/7/19,7203.22,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/8/18,1/2/19,2024.75,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/7/18,1/16/19,38738.7,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",12/7/18,1/2/19,29910.5,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/28/18,1/28/19,2854.6,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/28/18,1/28/19,1957.44,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/28/18,1/28/19,2758.68,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/28/18,1/28/19,1152,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/28/18,1/31/19,8163.5,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/27/18,1/31/19,656,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/24/18,1/31/19,2197.26,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/24/18,1/23/19,2927.84,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/23/18,1/22/19,14090.23,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/21/18,1/22/19,6884.15,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/20/18,1/22/19,722,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/27/18,1/28/19,1052.1,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/20/18,1/31/19,135.78,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/16/18,1/15/19,14612.4,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/16/18,1/15/19,1804.77,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/15/18,1/14/19,14925.3,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/15/18,1/14/19,19268.76,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/13/18,1/14/19,1925.04,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/9/18,1/31/19,5846.4,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/7/18,12/7/18,9535.24,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/6/18,1/7/19,16892.26,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",11/5/18,1/31/19,2441.4,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/31/18,12/31/18,8966.51,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/31/18,12/31/18,6367.44,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,12/31/18,2913.88,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,12/31/18,32743.1,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/30/18,12/31/18,75698.7,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/29/18,12/28/18,6293.75,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/29/18,11/30/18,183.37,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/29/18,12/31/18,36.08,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/27/18,12/26/18,10421.68,Department of Defense,PURCHASE ORDER,GA,325520
"PRC - DESOTO INTERNATIONAL, INC.",10/26/18,11/26/18,458.47,Department of Defense,PURCHASE ORDER,GA,325520
